file	producer_bucket	has_struct_layer	separable_cut_crease	n_struct_layers
030523_035456-342654.pdf	adobe			0
030523_035502-191842.PDF	adobe			0
030523_035506-101364.pdf	adobe	Y	Y	1
030523_060839-873484.pdf	cairo			0
030622_030835.pdf	adobe	Y	Y	1
030622_032415.pdf	cairo			0
030622_032422.pdf	adobe	Y	Y	1
030622_061531.pdf	bcsi_packdesign			0
030622_061534.PDF	bcsi_packdesign			0
030622_061537.PDF	bcsi_packdesign			0
030622_061548.pdf	office_print			0
030622_071039.pdf	office_print			0
030622_071643.PDF	bcsi_packdesign			0
030622_071658.pdf	office_print			0
030623_041046-713715.PDF	bcsi_packdesign			0
030623_041049-469497.pdf	bcsi_packdesign			0
030623_042538-339919.PDF	bcsi_packdesign			0
030623_042541-315898.pdf	bcsi_packdesign			0
030623_070930-897265.pdf	other			0
030623_080926-604828.pdf	cairo			0
030623_090013-151186.PDF	adobe			0
030623_090018-198558.pdf	adobe			0
030623_090119-493621.PDF	bcsi_packdesign			0
030623_090123-778855.pdf	adobe			0
030623_090229-872250.PDF	bcsi_packdesign			0
030623_090233-206674.pdf	adobe			0
030623_091311-641764.PDF	bcsi_packdesign			0
030623_091316-935737.pdf	adobe			0
030723_104126-685426.pdf	other			0
030723_110129-403982.pdf	other			0
030723_110205-969160.pdf	cairo			0
030723_111658-745759.pdf	cairo			0
030723_111717-492123.pdf	other			0
030723_120301-947838.pdf	bcsi_packdesign			0
030723_120308-945562.PDF	bcsi_packdesign			0
030723_123126-114387.pdf	other			0
030723_140939-632879.PDF	adobe			0
030723_140950-709810.pdf	adobe	Y	Y	1
030723_141325-253940.pdf	adobe	Y	Y	1
030723_141812-662759.pdf	cairo			0
030723_142751-276131.pdf	other			0
030723_142758-197032.PDF	bcsi_packdesign			0
030723_144003-104297.pdf	adobe			0
030723_145157-679355.pdf	adobe			0
030723_145211-896251.pdf	other			0
030723_145223-913911.PDF	bcsi_packdesign			0
030723_163738-859872.PDF	bcsi_packdesign			0
030723_163848-322088.pdf	bcsi_packdesign			0
030723_165440-449864.pdf	cairo			0
030723_165557-353676.PDF	bcsi_packdesign			0
030822_010607.PDF	bcsi_packdesign			0
030822_010613.pdf	bcsi_packdesign			0
030822_010616.pdf	bcsi_packdesign			0
030822_011922.pdf	adobe	Y	Y	1
030822_020738.pdf	adobe	Y		1
030822_020802.pdf	adobe	Y		1
030822_022025.PDF	bcsi_packdesign			0
030822_022034.pdf	bcsi_packdesign			0
030822_025937.pdf	other			0
030822_033253.PDF	bcsi_packdesign			0
030822_033256.pdf	adobe	Y	Y	1
030822_054139.PDF	bcsi_packdesign			0
030822_054146.pdf	adobe	Y	Y	1
030822_055603.PDF	adobe			0
030822_055611.pdf	adobe	Y	Y	1
030822_055754.PDF	bcsi_packdesign			0
030822_055758.pdf	adobe	Y	Y	1
030822_060055.pdf	adobe			0
030822_060103.pdf	adobe	Y	Y	1
030822_060315.pdf	adobe			0
030822_060321.pdf	adobe	Y	Y	1
030822_060849.PDF	adobe			0
030822_060854.pdf	adobe	Y	Y	1
030822_061043.PDF	adobe			0
030822_061047.pdf	adobe	Y	Y	1
030822_082717.pdf	office_print			0
030822_095712.pdf	adobe	Y	Y	1
030823_100154-685069.pdf	cairo			0
030823_105819-817865.pdf	other			0
030823_152717-707233.pdf	adobe			0
030823_152720-311122.PDF	bcsi_packdesign			0
030823_152753-177846.pdf	other			0
030823_163033-232469.pdf	other			0
030823_174927-384670.pdf	cairo			0
030922_012219-269522.pdf	office_print			0
030922_012228-628034.pdf	adobe	Y	Y	1
030922_100403-152475.pdf	other			0
031022_023308-489743.pdf	adobe			0
031022_034352-632669.pdf	bcsi_packdesign			0
031022_060016-359194.pdf	office_print			0
031022_060047-978110.pdf	other			0
031022_071329-217752.pdf	adobe			0
031022_074037-486865.pdf	other			0
031022_093427-709060.PDF	bcsi_packdesign			0
031022_093511-792759.PDF	bcsi_packdesign			0
031022_093903-944264.pdf	adobe			0
031022_093913-678012.pdf	adobe	Y	Y	1
031022_093918-601311.pdf	adobe	Y	Y	1
031022_105556-524249.pdf	office_print			0
031122_025516-523353.PDF	bcsi_packdesign			0
031122_025520-236581.PDF	bcsi_packdesign			0
031122_025525-597315.pdf	bcsi_packdesign			0
031122_025530-657830.pdf	adobe	Y	Y	1
031122_030734-971265.pdf	other			0
031122_030739-164575.pdf	other			0
031122_040039-408634.PDF	bcsi_packdesign			0
031122_040043-224243.PDF	bcsi_packdesign			0
031122_040048-382686.pdf	adobe	Y	Y	1
031122_040053-804475.pdf	bcsi_packdesign			0
031122_085005-314364.pdf	adobe	Y	Y	1
031122_091128-148469.pdf	cairo			0
031122_091432-888920.pdf	other			0
031122_091437-481127.pdf	other			0
031122_091444-976793.pdf	other			0
031122_092259-645364.pdf	other			0
031222_003456-795820.pdf	adobe	Y	Y	1
031222_010816-969973.PDF	adobe			0
031222_010825-594380.pdf	adobe	Y	Y	1
031222_010835-573652.pdf	adobe			0
031222_011331-927117.pdf	adobe	Y	Y	1
031222_011341-685096.PDF	adobe			0
031222_011355-864983.pdf	adobe	Y	Y	1
031222_051055-349945.pdf	office_print			0
031222_051059-982890.pdf	other			0
031222_054928-138114.pdf	office_print			0
040123_014505-173789.PDF	bcsi_packdesign			0
040123_014715-564858.pdf	adobe			0
040123_023724-252266.pdf	cairo			0
040223_012657-465423.pdf	adobe			0
040323_001446-981238.pdf	adobe			0
040323_001457-212142.pdf	adobe			0
040323_085652-489295.pdf	adobe			0
040423_015008-233438.pdf	office_print			0
040423_015112-619176.pdf	office_print			0
040423_015149-724436.pdf	cairo			0
040423_015255-931416.pdf	office_print			0
040423_020003-172026.pdf	adobe			0
040423_020430-439738.pdf	office_print			0
040423_020519-541286.pdf	office_print			0
040423_020612-843577.pdf	office_print			0
040423_020734-439619.pdf	office_print			0
040423_020802-876819.pdf	office_print			0
040423_022158-193761.pdf	other			0
040423_022952-426174.pdf	cairo			0
040423_025045-458631.pdf	adobe	Y	Y	1
040423_025048-566111.PDF	adobe			0
040423_032135-471941.pdf	bcsi_packdesign			0
040423_032211-758518.PDF	bcsi_packdesign			0
040423_061043-259074.PDF	adobe			0
040423_061046-204126.pdf	adobe	Y	Y	1
040523_012902-767348.pdf	cairo			0
040523_014106-756243.pdf	cairo			0
040523_015712-532960.pdf	other			0
040523_023603-431879.pdf	office_print			0
040523_024910-135766.PDF	adobe			0
040523_024914-848794.pdf	adobe	Y	Y	1
040523_065542-381938.pdf	office_print			0
040523_065644-721082.PDF	bcsi_packdesign			0
040523_072002-121271.PDF	bcsi_packdesign			0
040523_083806-621135.PDF	bcsi_packdesign			0
040523_083813-472781.pdf	adobe			0
040523_100335-298988.PDF	bcsi_packdesign			0
040622_022018.pdf	cairo			0
040622_060054.pdf	adobe			0
040722_043132.pdf	adobe			0
040722_054629.pdf	adobe			0
040722_055935.pdf	bcsi_packdesign			0
040722_055958.PDF	bcsi_packdesign			0
040722_060019.pdf	office_print			0
040722_062441.pdf	other			0
040722_064511.pdf	other			0
040722_075105.pdf	adobe			0
040722_085124.pdf	other			0
040722_090228.pdf	adobe			0
040722_094903.pdf	office_print			0
040723_110538-176969.PDF	adobe			0
040723_110743-593750.pdf	other			0
040723_112019-968138.pdf	other			0
040723_112919-175626.pdf	other			0
040723_122103-443587.pdf	cairo			0
040723_122127-474554.pdf	adobe	Y	Y	1
040723_122637-781233.pdf	cairo			0
040723_141850-574976.pdf	adobe			0
040723_142618-368235.pdf	adobe	Y	Y	1
040723_144103-908799.pdf	adobe			0
040723_180309-528059.pdf	adobe			0
040822_015624.pdf	adobe	Y	Y	1
040822_023136.pdf	other			0
040822_033454.pdf	bcsi_packdesign			0
040822_033500.PDF	bcsi_packdesign			0
040822_061041.PDF	bcsi_packdesign			0
040822_061045.pdf	bcsi_packdesign			0
040822_073116.pdf	adobe	Y	Y	1
040822_073121.pdf	adobe	Y	Y	1
040822_083642.pdf	adobe	Y	Y	1
040822_083647.pdf	adobe	Y	Y	1
040822_093521.pdf	office_print			0
040823_123705-223137.pdf	cairo			0
040823_123820-134962.pdf	adobe	Y	Y	1
040823_124343-169674.pdf	cairo			0
040823_131706-979698.pdf	office_print			0
040823_131753-797921.pdf	office_print			0
040823_140549-311970.pdf	cairo			0
040823_140824-954181.pdf	office_print			0
040823_143021-214810.PDF	adobe			0
040823_143041-656031.PDF	adobe			0
040823_160310-636991.pdf	cairo			0
040823_161852-326793.pdf	cairo			0
040823_181717-861894.PDF	bcsi_packdesign			0
